1,1,2,1
2,1,3,2
3,1,4,5
4,1,5,2
5,1,6,1
6,1,7,1
7,1,8,1
9,1,10,5
10,1,11,4
11,1,12,3
12,1,13,8
14,1,15,4
16,1,17,1
20,1,21,1
22,1,24,1
29,1,31,4
30,1,32,2
31,1,33,1
35,1,37,2
41,1,43,2
45,1,47,1
53,1,55,1
54,1,56,1
55,1,57,1
56,1,58,1
57,1,59,1
58,1,60,1
59,1,61,1
60,2,10,6
61,2,11,6
62,2,13,12
67,2,69,1
70,2,72,2
74,2,77,1
75,2,78,1
80,2,84,1
81,2,85,1
85,2,89,1
86,2,90,1
90,2,94,1
94,2,98,1
95,2,99,1
96,2,100,1
97,2,101,1
98,3,102,1
99,3,103,1
100,3,104,1
101,3,105,1
102,3,10,6
103,3,107,1
104,3,11,4
105,3,109,1
106,3,13,8
108,3,15,4
112,3,117,1
113,3,118,1
115,3,12,3
119,3,124,1
120,3,4,2
122,3,21,1
135,3,140,1
136,3,141,2
138,3,143,1
139,3,144,1
140,3,145,1
141,4,10,7
144,4,11,5
145,4,150,5
146,4,13,10
148,4,15,5
150,4,156,1
151,4,157,1
152,4,158,1
164,4,21,2
178,4,186,1
179,4,187,1
180,4,188,1
181,4,189,1
182,4,190,1
183,4,191,1
184,4,192,1
185,4,193,1
186,4,194,1
187,4,195,1
188,4,196,1
189,4,197,1
190,4,198,1
191,4,199,1
192,4,200,1
193,5,10,3
194,5,24,4
195,5,104,2
197,5,11,3
198,5,12,2
199,5,13,6
201,5,15,3
205,5,214,1
208,5,150,2
219,5,229,1
220,5,230,1
221,5,231,1
222,5,232,1
223,5,233,1
224,6,10,6
225,6,235,1
226,6,11,4
227,6,13,8
229,6,15,4
232,6,242,2
238,6,17,1
239,6,249,1
240,6,250,1
252,6,262,1
253,6,263,1
254,6,264,1
255,6,265,1
256,6,266,1
257,6,267,1
258,7,10,2
259,7,271,1
260,7,11,2
261,7,150,2
262,7,13,4
264,7,15,2
271,7,190,1
272,7,285,1
273,7,286,1
274,7,287,1
275,7,288,1
276,8,289,3
277,8,290,3
278,8,291,1
279,8,292,1
280,8,293,2
282,8,295,2
283,8,214,2
284,8,297,1
286,8,11,3
287,8,300,1
288,8,301,3
289,8,13,3
290,8,303,3
294,8,307,1
295,8,308,1
296,8,309,1
297,8,310,1
299,8,312,1
309,8,322,1
310,8,323,1
311,8,324,2
313,8,326,1
314,8,327,1
315,8,328,1
316,10,11,2
317,10,330,1
318,10,331,1
319,10,332,1
320,10,333,1
321,10,334,1
322,10,335,1
323,10,336,1
324,10,337,1
325,10,338,1
326,10,341,1
327,10,343,1
328,10,344,2
330,10,37,1
332,10,350,1
333,10,351,1
334,10,353,1
335,10,354,1
336,10,355,2
337,10,356,1
338,10,357,2
339,10,358,1
341,10,360,1
342,10,361,1
343,10,362,1
344,10,363,1
345,10,364,1
347,10,366,1
348,10,367,1
349,10,368,1
350,11,13,1
351,11,370,1
352,12,371,1
353,12,13,2
355,12,375,1
356,13,330,1
357,13,331,1
358,13,332,1
359,13,333,1
360,13,334,1
361,13,335,1
362,13,336,1
363,13,337,1
364,13,338,1
365,13,341,1
366,13,343,1
367,13,344,2
368,13,37,1
370,13,350,1
371,13,351,1
